submission_date,starttime,endtime,tinh,tentinh,huyen,tenhuyen,xa,tenxa,thon,tenthon,khuvuc,idcode0,nguoipv,entry,a001,a002,a005,a005a,a006,a008,a008a,a008aa,a009,a009a,z8,instanceID
"2017-09-30 12:45:23","2017-09-30 11:52:07","2017-09-30 12:45:19","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",2,"Le thi kim anh",289,"Nam",57,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:954f959f-a10d-40b2-9b90-f095d77eeda9"
"2017-10-01 15:39:07","2017-10-01 14:47:26","2017-10-01 15:38:59","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",5,"Nguyen thu ha",224,"Nữ",54,"Kinh","","Tốt nghiệp cấp III","Kinh doanh tai nha","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:357c79ca-4a91-48a3-a568-e1753fc3558e"
"2017-10-01 11:03:53","2017-10-01 10:23:01","2017-10-01 11:03:47","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",2,"Nguyen Phuong Linh",238,"Nữ",62,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:beedda29-51eb-4f43-9355-596c78aa8937"
"2017-10-01 14:44:05","2017-10-01 13:55:52","2017-10-01 14:43:58","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",2,"Nguyen thu ha",224,"Nam",57,"Kinh","","Tốt nghiệp cấp III","Can bo nghi huu","Nghỉ hưu (và không làm thêm)","","Dịch vụ/Kinh doanh (Nhà nước)","","Khong co","uuid:1107c4bd-c4bd-47a0-97c1-d0b907e41017"
"2017-09-30 08:59:44","2017-09-30 07:59:43","2017-09-30 08:59:41","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",16,"Le thi kim anh",289,"Nam",57,"Kinh","","Chưa học hết cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:c5abffbd-ba09-41bd-b91c-c5fd34873205"
"2017-09-29 11:45:03","2017-09-29 10:40:27","2017-09-29 11:44:59","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",46,"Nguyen thu ha",224,"Nữ",61,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:767faaed-4e87-4ab9-8abb-6691e4a73081"
"2017-09-30 16:20:35","2017-09-30 15:18:41","2017-09-30 16:20:33","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",20,"Nguyen ngoc phuong mai",246,"Nam",46,"Kinh","","Tốt nghiệp cấp III","Noi tro","Nội trợ (và không làm thêm)","","Nông nghiệp","","Khong co","uuid:4e2bc14d-a698-4fba-af36-50a2cdd3fbd8"
"2017-09-29 11:38:08","2017-09-29 10:38:55","2017-09-29 11:38:04","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",20,"Nguyen ngoc phuong mai",246,"Nữ",43,"Kinh","","Tốt nghiệp cấp III","Noi tro","Nội trợ (và không làm thêm)","","Công nghiệp (Tư nhân)","","Khong co","uuid:1bd01d65-d61a-4322-9c28-ec074536a0a3"
"2017-10-01 09:35:31","2017-10-01 08:04:00","2017-10-01 09:35:24","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",42,"Le thi kim anh",289,"Nữ",22,"Kinh","","Tốt nghiệp cấp III","Cong nhan may","Lao động có tay nghề","","Công nghiệp (Nước ngoài/Liên doanh)","","Khong co","uuid:e9644f1f-2658-44c2-a9e0-55a7ee072710"
"2017-10-01 09:42:28","2017-10-01 08:13:52","2017-10-01 09:42:23","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",9,"Nguyen Phuong Linh",238,"Nữ",63,"Kinh","","Tốt nghiệp cấp II","Noi tro","Nội trợ (và không làm thêm)","","Khác","Noi tro","Khobg co","uuid:fd617cfd-2d22-456a-8711-5e3bb59f08b5"
"2017-10-01 11:45:45","2017-10-01 11:06:30","2017-10-01 11:45:42","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",12,"Le Thi Ngoc Anh",197,"Nam",44,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:67b174ba-3b6d-43e8-9655-d677fe371e9b"
"2017-09-29 16:30:58","2017-09-29 15:36:20","2017-09-29 16:30:55","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",20,"Nguyen ngoc phuong mai",246,"Nam",42,"Kinh","","Tốt nghiệp cấp II","Tu do","Khác","Tu do","Khác","Tu do","Khong co","uuid:dca4afb1-5f07-4bab-82c5-00a24b9db8eb"
"2017-09-30 15:35:02","2017-09-30 14:58:12","2017-09-30 15:34:59","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",10,"Le Thi Ngoc Anh",197,"Nam",63,"Kinh","","Tốt nghiệp cấp II","Trong trot, lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:ebe963ba-c4e9-4642-873c-4c09e5203862"
"2017-09-30 11:03:41","2017-09-30 10:03:53","2017-09-30 11:03:37","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",8,"Le thi kim anh",289,"Nữ",44,"Kinh","","Tốt nghiệp cấp II","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:3e295997-6944-495c-8ef7-6042c8dcee78"
"2017-09-29 11:02:44","2017-09-29 09:59:16","2017-09-29 11:02:40","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",19,"Tran Thi Mai Huong",210,"Nữ",60,"Kinh","","Tốt nghiệp cấp II","Huu tri","Nghỉ hưu (và không làm thêm)","","Quốc phòng/Công an","","Khong co","uuid:8f9f8b47-474e-45b5-b61e-84555de24236"
"2017-09-30 11:51:52","2017-09-30 11:03:56","2017-09-30 11:51:49","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",13,"Le thi kim anh",289,"Nữ",50,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:74e3a58d-e893-47b2-8c66-df72dc8bf89d"
"2017-10-01 09:32:28","2017-10-01 08:04:07","2017-10-01 09:32:24","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",5,"Nguyen ngoc phuong mai",246,"Nam",59,"Kinh","","Tốt nghiệp cấp II","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:6124d0d6-a36b-426e-b1ae-0a98f024fb69"
"2017-10-01 10:33:22","2017-10-01 09:37:08","2017-10-01 10:33:17","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",5,"Nguyen thi thuong",291,"Nam",57,"Kinh","","Tốt nghiệp cấp II","That nghiep","Không có việc làm","","Dịch vụ/Kinh doanh (Nhà nước)","","Khong co","uuid:86af644c-88b6-4f58-a740-0c6e6d3168a9"
"2017-09-29 10:32:21","2017-09-29 09:32:39","2017-09-29 10:32:16","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",12,"Le thi kim anh",289,"Nam",52,"Kinh","","Chưa học hết cấp II","Kinh doanh dich vu","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:ac2d98af-beb7-4b97-9fc2-4eb5539aa8a2"
"2017-09-30 15:31:40","2017-09-30 14:06:38","2017-09-30 15:31:37","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",6,"Tran Thi Mai Huong",210,"Nam",71,"Kinh","","Tốt nghiệp cấp III","Kinh doanh san xuat da","Lao động không có tay nghề","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:b7522475-b96e-4211-82f7-0807d763883a"
"2017-10-01 15:56:55","2017-10-01 14:54:35","2017-10-01 15:56:50","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",18,"Nguyen ngoc phuong mai",246,"Nam",58,"Kinh","","Tốt nghiệp ĐH/Cao đẳng","Boi doi nghi huu","Chuyên gia, kỹ thuật (bao gồm cả quân đội, cảnh sát, an ninh)","","Quốc phòng/Công an","","Khong co","uuid:2e167451-fbdc-4ad7-a0c6-dafc6a89b9da"
"2017-09-30 09:10:55","2017-09-30 08:13:27","2017-09-30 09:10:43","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",3,"Nguyen thu ha",224,"Nữ",70,"Kinh","","Học xong tiểu học","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:160b2e19-a570-4659-bd1e-edcedad4f949"
"2017-09-30 09:18:11","2017-09-30 07:57:25","2017-09-30 09:18:07","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",10,"Ha Thi Kim Quy",290,"Nam",63,"Kinh","","Tốt nghiệp cấp III","san xuat nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Cơ quan nhà nước","","Khong co","uuid:21bc250d-656a-47c7-802d-2ad78826389b"
"2017-09-30 09:51:08","2017-09-30 09:09:13","2017-09-30 09:51:04","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",17,"Le Thi Ngoc Anh",197,"Nữ",68,"Kinh","","Chưa học hết tiểu học","Dong ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:1330a49b-3658-45c2-b202-92559f4058fa"
"2017-09-29 09:47:37","2017-09-29 08:49:54","2017-09-29 09:47:33","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",5,"Nguyen thi thuong",291,"Nữ",53,"Kinh","","Tốt nghiệp cấp II","Nghi huu","Nghỉ hưu (và không làm thêm)","","Cơ quan nhà nước","","Khong co","uuid:0d112fce-1d9c-4c52-ab35-19ce6bff1c07"
"2017-09-30 11:10:19","2017-09-30 10:07:32","2017-09-30 11:10:16","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",7,"Nguyen thi thuong",291,"Nữ",47,"Kinh","","Chưa học hết cấp II","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong","uuid:31a9d96b-5be3-4484-8107-375f67d6caf7"
"2017-09-30 11:14:10","2017-09-30 10:33:29","2017-09-30 11:14:07","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",18,"Nguyen Phuong Linh",238,"Nam",50,"Kinh","","Tốt nghiệp cấp II","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:54730810-fbd5-42a4-a755-2ea7691e6198"
"2017-09-30 11:34:36","2017-09-30 10:45:57","2017-09-30 11:34:20","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",6,"Le Thi Ngoc Anh",197,"Nam",40,"Kinh","","Chưa học hết cấp III","Tho xay","Lao động có tay nghề","","Khác","Xay dung","Khong co","uuid:cc9f60e6-7168-4dd1-9303-488e5d2e6ecb"
"2017-10-01 16:09:00","2017-10-01 15:10:15","2017-10-01 16:08:55","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",43,"Tran Thi Mai Huong",210,"Nữ",40,"Kinh","","Tốt nghiệp cấp III","Buon ban","Chủ kinh doanh gia đình","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:70194a39-bab6-4b42-a6d4-91fe21a122da"
"2017-09-29 16:53:10","2017-09-29 15:34:28","2017-09-29 16:53:07","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",13,"Le thi kim anh",289,"Nữ",64,"Kinh","","Chưa học hết cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:a2440460-9152-4969-8350-956b5b8eba33"
"2017-09-30 14:57:57","2017-09-30 14:07:31","2017-09-30 14:57:53","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",9,"Le Thi Ngoc Anh",197,"Nam",65,"Kinh","","Tốt nghiệp cấp III","Trong trot chan nuoi","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:70685310-18f8-42a1-a025-1a444118a3ac"
"2017-10-01 11:47:51","2017-10-01 10:59:59","2017-10-01 11:47:47","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",7,"Tran Thi Mai Huong",210,"Nữ",44,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:304fb314-8cef-465c-9df8-5f0ac5be217f"
"2017-10-01 16:44:54","2017-10-01 15:53:43","2017-10-01 16:44:47","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052801","Khu 4","Đô thị",47,"Nguyen Phuong Linh",238,"Nam",68,"Kinh","","Chưa học hết tiểu học","Sua chua do dien","Lao động có tay nghề","","Khác","Tu do","Khong co","uuid:7056deb7-772a-4e8e-bbdf-b3abef0e48a7"
"2017-09-30 18:41:52","2017-09-30 17:41:40","2017-09-30 18:41:48","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",16,"Ha Thi Kim Quy",290,"Nam",55,"Kinh","","Tốt nghiệp cấp III","Quan li dien xi nghiep","Chuyên gia, kỹ thuật (bao gồm cả quân đội, cảnh sát, an ninh)","","Công nghiệp (Tư nhân)","","Khong co","uuid:f6aa6e69-7b7f-4b49-b836-7a9e5ce963d1"
"2017-09-29 12:12:04","2017-09-29 11:09:21","2017-09-29 12:12:00","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",42,"Nguyen thi thuong",291,"Nam",65,"Kinh","","Tốt nghiệp cấp III","Nghe giao thong van tai","Lao động có tay nghề","","Dịch vụ/Kinh doanh (Nhà nước)","","Khong co","uuid:0851bacf-969b-4c15-b8f5-0d9fd8bedc68"
"2017-09-29 10:34:03","2017-09-29 09:42:20","2017-09-29 10:34:00","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",18,"Le Thi Ngoc Anh",197,"Nữ",57,"Kinh","","Chưa học hết tiểu học","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:2af5d231-753c-46f3-b5c3-4c76eb681bb7"
"2017-10-01 10:31:21","2017-10-01 09:35:44","2017-10-01 10:31:15","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",18,"Le thi kim anh",289,"Nữ",50,"Kinh","","Chưa học hết cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:01ae633b-9eae-4b65-b487-5fd01afabd6f"
"2017-09-30 15:17:31","2017-09-30 14:10:39","2017-09-30 15:17:27","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075006","Khu An Thái","Đô thị",17,"Le thi kim anh",289,"Nam",53,"Kinh","","Chưa học hết cấp II","Trong trot","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:940fc0df-ef5b-4c21-8007-8e65d8820401"
"2017-09-29 16:57:51","2017-09-29 16:08:10","2017-09-29 16:57:46","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",8,"Nguyen Phuong Linh",238,"Nữ",47,"Kinh","","Tốt nghiệp cấp III","Lam vuon","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:8d6cc978-f403-4e90-9eab-ac71a512f4de"
"2017-09-30 17:52:05","2017-09-30 17:10:11","2017-09-30 17:52:01","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",14,"Le Thi Ngoc Anh",197,"Nữ",55,"Kinh","","Tốt nghiệp cấp III","Nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:aa9916a9-b701-4d41-aee2-8b5b4c04c4ab"
"2017-10-01 11:26:28","2017-10-01 10:31:54","2017-10-01 11:26:25","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",19,"Le thi kim anh",289,"Nam",46,"Kinh","","Chưa học hết cấp II","Khong co nghe nghiep, khong lam gi","Không có việc làm","","Công nghiệp (Tư nhân)","","Khong co","uuid:7be58855-44e8-4d60-8c2a-9009794cc0aa"
"2017-09-29 17:52:49","2017-09-29 17:07:09","2017-09-29 17:52:45","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900228","Thôn Tiên Kiều","Nông thôn",12,"Tran Thi Mai Huong",210,"Nam",51,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:99d444f5-72bd-4745-b5da-c831aca9d3c6"
"2017-09-29 15:12:21","2017-09-29 14:19:39","2017-09-29 15:12:17","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",17,"Nguyen Phuong Linh",238,"Nữ",42,"Kinh","","Tốt nghiệp cấp III","Lam may","Lao động có tay nghề","","Công nghiệp (Nước ngoài/Liên doanh)","","Khong co","uuid:fa1595aa-a7b1-4fb3-a098-ac7cffd2014d"
"2017-10-01 16:59:51","2017-10-01 16:09:08","2017-10-01 16:59:47","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",20,"Tran Thi Mai Huong",210,"Nữ",50,"Kinh","","Tốt nghiệp cấp III","Ban hang","Lao động không có tay nghề","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:a0b17735-63a9-4fb1-99f7-2cd8e8633f24"
"2017-10-01 09:41:24","2017-10-01 08:34:01","2017-10-01 09:41:20","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",17,"Nguyen thu ha",224,"Nam",57,"Kinh","","Tốt nghiệp cấp II","Tu do, lam thue","Lao động có tay nghề","","Khác","Lam tu do","Khong co","uuid:bf8d6e02-0cd4-4c30-a5d7-d93ea1b35819"
